model,fpr,tpr,threshold
rectified_l1,0.2848761408083442,1.0,9.665379640350764e-15
rectified_l1,0.29921773142112124,1.0,9.058239424541865e-15
rectified_l1,0.3005215123859192,1.0,8.304100662303793e-15
rectified_l1,0.3044328552803129,1.0,7.754513520553607e-15
rectified_l1,0.3050847457627119,1.0,7.531473097581522e-15
rectified_l1,0.3076923076923077,1.0,6.886697717450025e-15
rectified_l1,0.30834419817470665,1.0,6.728342969934707e-15
rectified_l1,0.3213820078226858,1.0,5.998701948087593e-15
rectified_l1,0.32333767926988266,1.0,5.99870194808755e-15
rectified_l1,0.3246414602346806,1.0,4.574474662136569e-15
rectified_l1,0.3272490221642764,1.0,4.139591510037641e-15
rectified_l1,0.32790091264667537,1.0,3.93957479152668e-15
rectified_l1,0.32985658409387225,1.0,3.9208188782307916e-15
rectified_l1,0.33116036505867014,1.0,3.409216365803122e-15
rectified_l1,0.33376792698826596,1.0,2.535487733628469e-15
rectified_l1,0.3363754889178618,1.0,9.060140663836078e-16
rectified_l1,0.34159061277705344,1.0,8.972927325498552e-16
rectified_l1,0.35267275097783574,1.0,8.515536256238875e-16
rectified_l1,0.3546284224250326,1.0,8.217987648911542e-16
rectified_l1,0.35528031290743156,1.0,7.892462964823063e-16
rectified_l1,0.35723598435462844,1.0,6.810656499018548e-16
rectified_l1,0.3578878748370274,1.0,6.374721782058963e-16
rectified_l1,0.3604954367666232,1.0,6.075963041104531e-16
rectified_l1,0.3644067796610169,1.0,2.99772600022034e-16
rectified_l1,0.3670143415906128,1.0,2.971680026806339e-16
rectified_l1,0.36897001303780963,1.0,2.954728566136196e-16
rectified_l1,0.37027379400260757,1.0,1.6682130841581616e-16
rectified_l1,0.3748370273794003,1.0,1.414887592874325e-16
rectified_l1,0.3774445893089961,1.0,1.324155187779602e-16
rectified_l1,0.38005215123859193,1.0,1.1925033486035313e-16
rectified_l1,0.3852672750977836,1.0,9.594373213112516e-17
rectified_l1,0.38657105606258146,1.0,8.641860999775949e-17
rectified_l1,0.3878748370273794,1.0,8.113538183865135e-17
rectified_l1,0.3898305084745763,1.0,5.729247184600673e-17
rectified_l1,0.3917861799217731,1.0,5.650630877099926e-17
