rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe,raw_over_one,rect_over_one
-0.0,0.85,0.425,1.6988846277090364,1.1090117693622044,0.0,0.0,-0.589872858346832,0.0,True,True
-0.0,0.9,0.45,1.7971617886458322,1.1733349570017815,0.0,0.0,-0.6238268316440507,0.0,True,True
-0.0,0.95,0.475,1.8953358906985296,1.252187118969452,0.0,0.0,-0.6431487717290776,0.0,True,True
0.05,0.2,0.1072380529476361,0.383826540357248,0.2554114233736001,1.0,1.0,-0.12841511698364788,0.0,False,False
0.05,0.25,0.1340475661845451,0.4772481611748694,0.32101694067881215,1.0,1.0,-0.15623122049605725,0.0,False,False
0.05,0.3,0.16085707942145414,0.5700794295702488,0.3809658585493169,1.0,1.0,-0.1891135710209319,0.0,False,False
0.05,0.35,0.18766659265836313,0.6629468527126041,0.44880133020337404,1.0,1.0,-0.21414552250923008,0.0,False,False
0.05,0.4,0.2144761058952722,0.7555744921944813,0.5160281516869722,1.0,1.0,-0.239546340507509,0.0,False,False
0.05,0.45,0.2412856191321812,0.8480142535813996,0.5588433997408918,1.0,1.0,-0.2891708538405078,0.0,False,False
0.05,0.5,0.2680951323690902,0.9405120585305943,0.6358510583766045,1.0,1.0,-0.3046610001539898,0.0,False,False
0.05,0.55,0.29490464560599927,1.0326604364243333,0.6962191249404092,0.0,1.0,-0.3364413114839241,1.0,True,False
0.05,0.6,0.32171415884290827,1.1248423413864221,0.7478169308365924,0.0,1.0,-0.37702541054982974,1.0,True,False
0.05,0.65,0.34852367207981727,1.216967691919346,0.8134438180227556,0.0,1.0,-0.4035238738965904,1.0,True,False
0.05,0.7,0.37533318531672627,1.308961719227698,0.872476762747174,0.0,1.0,-0.4364849564805241,1.0,True,False
0.05,0.75,0.4021426985536353,1.400751717076771,0.9434837943932636,0.0,1.0,-0.45726792268350736,1.0,True,False
0.05,0.8,0.4289522117905444,1.492674537087094,1.0311579402695197,0.0,0.0,-0.4615165968175743,0.0,True,True
0.05,0.85,0.4557617250274534,1.5844062974786144,1.0948241282437519,0.0,0.0,-0.48958216923486253,0.0,True,True
0.05,0.9,0.4825712382643624,1.6760844183751094,1.1503800311307255,0.0,0.0,-0.5257043872443838,0.0,True,True
0.05,0.95,0.5093807515012714,1.7676956551034815,1.227406118188259,0.0,0.0,-0.5402895369152225,0.0,True,True
0.1,0.2,0.1140175425099138,0.3587944412296313,0.2601302091124677,1.0,1.0,-0.09866423211716357,0.0,False,False
0.1,0.25,0.14252192813739226,0.4470553520712875,0.31479010032883237,1.0,1.0,-0.13226525174245513,0.0,False,False
0.1,0.3,0.1710263137648707,0.5349413407783357,0.38246757087461075,1.0,1.0,-0.1524737699037249,0.0,False,False
0.1,0.35,0.19953069939234916,0.6224093607119655,0.44241200681725523,1.0,1.0,-0.17999735389471028,0.0,False,False
0.1,0.4,0.2280350850198276,0.7097575143553736,0.5017522044788896,1.0,1.0,-0.20800530987648402,0.0,False,False
0.1,0.45,0.2565394706473061,0.7969306364761773,0.5614309863524607,1.0,1.0,-0.23549965012371665,0.0,False,False
0.1,0.5,0.2850438562747845,0.884090413831547,0.6276402243543423,1.0,1.0,-0.25645018947720466,0.0,False,False
0.1,0.55,0.313548241902263,0.9708907308761217,0.6743852618112363,1.0,1.0,-0.2965054690648854,0.0,False,False
0.1,0.6,0.3420526275297414,1.057701320975571,0.7412803802239445,0.0,1.0,-0.3164209407516265,1.0,True,False
0.1,0.65,0.3705570131572199,1.1444217072694698,0.798457720052839,0.0,1.0,-0.3459639872166308,1.0,True,False
0.1,0.7,0.3990613987846983,1.2310696160329055,0.8592414334767206,0.0,1.0,-0.371828182556185,1.0,True,False
0.1,0.75,0.42756578441217674,1.3176137085281214,0.9281143881989342,0.0,1.0,-0.3894993203291872,1.0,True,False
