support_size,n,seed_count,rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe
25,5000,3,0.05,0.6,0.1779887636902959,2.011887714522756,1.6070289900438024,0.0,0.0,-0.40485872447895344,0.0
25,5000,3,0.05,0.65,0.19282116066448723,2.177952996699085,1.7330822080542045,0.0,0.0,-0.4448707886448804,0.0
25,5000,3,0.05,0.7,0.20765355763867854,2.376045196317494,1.9263227701615737,0.0,0.0,-0.44972242615592006,0.0
25,5000,3,0.05,0.75,0.22248595461286988,2.5087414744595278,2.016348449210249,0.0,0.0,-0.49239302524927897,0.0
25,5000,3,0.05,0.8,0.23731835158706122,2.69753534619479,2.188016802255208,0.0,0.0,-0.5095185439395822,0.0
25,5000,3,0.05,0.85,0.2521507485612525,2.83707321263639,2.3072053210679577,0.0,0.0,-0.5298678915684323,0.0
25,5000,3,0.05,0.9,0.2669831455354439,3.000694066541186,2.436973536895144,0.0,0.0,-0.5637205296460421,0.0
25,5000,3,0.05,0.95,0.28181554250963514,3.1749415362525917,2.574173865508834,0.0,0.0,-0.6007676707437577,0.0
25,5000,3,0.075,0.0,0.0,0.00836210550608701,0.027449251850216617,1.0,1.0,0.019087146344129606,0.0
25,5000,3,0.075,0.05,0.016733200530681513,0.15865505708148683,0.13581592106763088,1.0,1.0,-0.022839136013855954,0.0
25,5000,3,0.075,0.1,0.033466401061363026,0.309695066615369,0.26389446033488034,1.0,1.0,-0.045800606280488654,0.0
25,5000,3,0.075,0.15,0.05019960159204453,0.45908343316689676,0.3980273581859466,1.0,1.0,-0.06105607498095017,0.0
25,5000,3,0.075,0.2,0.06693280212272605,0.6107123664006181,0.5057324793636706,1.0,1.0,-0.1049798870369475,0.0
25,5000,3,0.075,0.25,0.08366600265340755,0.72398992463153,0.6160670171534601,1.0,1.0,-0.10792290747806987,0.0
25,5000,3,0.075,0.3,0.10039920318408906,0.8774858376085802,0.7565440662174968,1.0,1.0,-0.12094177139108342,0.0
25,5000,3,0.075,0.35,0.11713240371477057,1.0300559180800513,0.8638078075735992,0.0,1.0,-0.16624811050645205,1.0
25,5000,3,0.075,0.4,0.1338656042454521,1.2393044202945984,1.0794871227303433,0.0,0.0,-0.1598172975642551,0.0
25,5000,3,0.075,0.45,0.1505988047761336,1.3318648681270988,1.1162666726796153,0.0,0.0,-0.2155981954474835,0.0
25,5000,3,0.075,0.5,0.1673320053068151,1.530987999742018,1.2935695594345449,0.0,0.0,-0.23741844030747306,0.0
25,5000,3,0.075,0.55,0.18406520583749664,1.6317876959427027,1.3717298522236892,0.0,0.0,-0.2600578437190135,0.0
25,5000,3,0.075,0.6,0.2007984063681781,1.7809378016868458,1.4847904783732888,0.0,0.0,-0.296147323313557,0.0
25,5000,3,0.075,0.65,0.21753160689885964,1.9289667403663284,1.6196670586392592,0.0,0.0,-0.30929968172706923,0.0
25,5000,3,0.075,0.7,0.23426480742954114,2.0765458343657635,1.7597037041349708,0.0,0.0,-0.31684213023079266,0.0
25,5000,3,0.075,0.75,0.25099800796022265,2.223128028988882,1.8685807143101012,0.0,0.0,-0.35454731467878076,0.0
25,5000,3,0.075,0.8,0.2677312084909042,2.3689501691940973,1.9983301778979048,0.0,0.0,-0.3706199912961925,0.0
25,5000,3,0.075,0.85,0.28446440902158565,2.514994281850226,2.1291693834842778,0.0,0.0,-0.38582489836594824,0.0
25,5000,3,0.075,0.9,0.3011976095522672,2.660662254952445,2.268742039265038,0.0,0.0,-0.39192021568740687,0.0
25,5000,3,0.075,0.95,0.3179308100829487,2.814384729788234,2.3886931614857656,0.0,0.0,-0.42569156830246824,0.0
25,5000,3,0.1,0.0,0.0,0.007454399212791489,0.022566619744719723,1.0,1.0,0.015112220531928233,0.0
25,5000,3,0.1,0.05,0.018439088914585774,0.14408219893861693,0.1128971396032608,1.0,1.0,-0.031185059335356133,0.0
25,5000,3,0.1,0.1,0.03687817782917155,0.2805079142105842,0.2303718951207783,1.0,1.0,-0.05013601908980589,0.0
25,5000,3,0.1,0.15,0.05531726674375732,0.4164492687517121,0.3537259815396603,1.0,1.0,-0.06272328721205184,0.0
25,5000,3,0.1,0.2,0.0737563556583431,0.5520812170194366,0.48880863190017715,1.0,1.0,-0.06327258511925943,0.0
25,5000,3,0.1,0.25,0.09219544457292887,0.6875195320128875,0.6015638911610154,1.0,1.0,-0.08595564085187213,0.0
25,5000,3,0.1,0.3,0.11063453348751465,0.7936739026002818,0.6974455149748621,1.0,1.0,-0.09622838762541974,0.0
25,5000,3,0.1,0.35,0.1290736224021004,0.9313061309223539,0.810756560532353,1.0,1.0,-0.12054957039000092,0.0
25,5000,3,0.1,0.4,0.1475127113166862,1.0687248210288034,0.9298475936728433,0.0,1.0,-0.1388772273559601,1.0
25,5000,3,0.1,0.45,0.16595180023127198,1.2564366658175234,1.1110024438678163,0.0,0.0,-0.14543422194970712,0.0
25,5000,3,0.1,0.5,0.18439088914585774,1.342477230702511,1.1602171945627504,0.0,0.0,-0.1822600361397606,0.0
