rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.05,0.6,-0.2765863337187866,2202,1.314027753895681,0.7856412242121196,0.0,1.0
-0.05,0.6,-0.2765863337187866,2203,1.3171308051184152,0.8282835116512893,0.0,1.0
-0.05,0.65,-0.29963519486201884,2201,1.4039873725082193,0.8314923192231503,0.0,1.0
-0.05,0.65,-0.29963519486201884,2202,1.4185386763906795,0.8358222690965547,0.0,1.0
-0.05,0.65,-0.29963519486201884,2203,1.425493599594544,0.8485281860221481,0.0,1.0
-0.05,0.7,-0.322684056005251,2201,1.5116970751119485,0.8944249386790375,0.0,1.0
-0.05,0.7,-0.322684056005251,2202,1.5229056409644297,0.9083995367585009,0.0,1.0
-0.05,0.7,-0.322684056005251,2203,1.5336751181383486,0.9295231485529925,0.0,1.0
-0.05,0.75,-0.3457329171484833,2201,1.6195183097392638,0.9584296824750578,0.0,1.0
-0.05,0.75,-0.3457329171484833,2202,1.6270758144634376,0.9873491021851151,0.0,1.0
-0.05,0.75,-0.3457329171484833,2203,1.6417060745079135,0.9959507926716407,0.0,1.0
-0.05,0.8,-0.36878177829171555,2201,1.7275480797424108,1.0261481349856656,0.0,0.0
