support_size,n,seed_count,rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
25,5000,3,0.025,0.35,0.08854377448471461,6202,1.3785832006050558,1.0449614701348444,0.0,0.0
25,5000,3,0.025,0.35,0.08854377448471461,6203,1.3552699769959422,0.9923506056297196,0.0,1.0
25,5000,3,0.025,0.4,0.10119288512538814,6201,1.621574095200142,1.1335620453861566,0.0,0.0
25,5000,3,0.025,0.4,0.10119288512538814,6202,1.5778084411448314,1.2255251516155645,0.0,0.0
25,5000,3,0.025,0.4,0.10119288512538814,6203,1.5568947727916873,1.1089756485717117,0.0,0.0
25,5000,3,0.025,0.45,0.11384199576606165,6201,1.815231502981531,1.3713931099247567,0.0,0.0
25,5000,3,0.025,0.45,0.11384199576606165,6202,1.77311494059985,1.3385137528082014,0.0,0.0
25,5000,3,0.025,0.45,0.11384199576606165,6203,1.7576335059018375,1.2492448766004816,0.0,0.0
25,5000,3,0.025,0.5,0.12649110640673517,6201,2.0066433816319345,1.50217548905088,0.0,0.0
25,5000,3,0.025,0.5,0.12649110640673517,6202,1.969858950927598,1.5511338478573244,0.0,0.0
25,5000,3,0.025,0.5,0.12649110640673517,6203,1.9551104479703676,1.4050824604587109,0.0,0.0
25,5000,3,0.025,0.55,0.1391402170474087,6201,2.197677485399672,1.6389842036159534,0.0,0.0
25,5000,3,0.025,0.55,0.1391402170474087,6202,2.1651879479848564,1.6751072738796036,0.0,0.0
25,5000,3,0.025,0.55,0.1391402170474087,6203,2.154941812626242,1.5544506243616798,0.0,0.0
25,5000,3,0.025,0.6,0.1517893276880822,6201,2.3864138893430358,1.7171694307929293,0.0,0.0
25,5000,3,0.025,0.6,0.1517893276880822,6202,2.359184924390915,1.8251580030340318,0.0,0.0
25,5000,3,0.025,0.6,0.1517893276880822,6203,2.3508999335027134,1.7040582327616947,0.0,0.0
25,5000,3,0.025,0.65,0.1644384383287557,6201,2.5758221728584516,1.848828947269487,0.0,0.0
25,5000,3,0.025,0.65,0.1644384383287557,6202,2.553104804207415,1.9362731783401714,0.0,0.0
25,5000,3,0.025,0.65,0.1644384383287557,6203,2.548725042009023,1.7999317046961172,0.0,0.0
25,5000,3,0.025,0.7,0.17708754896942921,6201,2.7625081457118705,2.019293551686245,0.0,0.0
