seed,c_value,log10_c,split,rectifier,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
0,0.5762487216478598,-0.23939002504159476,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,19,9
0,0.6672367170464204,-0.17572006313185626,legacy67,minmax,0.6819047619047618,0.8200000000000001,0.13809523809523827,0.92,0.9866666666666667,0.06666666666666665,0.7619047619047619,0.8333333333333334,0.07142857142857151,20,9
0,0.7742116473996242,-0.1111402993522028,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,22,9
0,0.9444574254983555,-0.02481761454243703,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,24,9
0,0.9565499215943818,-0.019292359554919238,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,24,9
0,1.1400863701127315,0.0569377536544464,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,25,9
0,1.2030178871154662,0.08027208471124325,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,26,9
0,1.2329098365270508,0.0909313175279762,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,26,9
0,1.2561043700013554,0.09902572652895136,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,26,9
0,1.4817820606039076,0.17078433263299386,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,25,9
0,1.5375920235481748,0.1868411173731186,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,25,9
0,1.7583640270008503,0.24510879027798493,legacy67,minmax,0.7057142857142857,0.8438095238095238,0.13809523809523805,0.92,0.9866666666666667,0.06666666666666665,0.7857142857142857,0.8571428571428571,0.0714285714285714,26,9
0,2.34238498471129,0.36965827544816987,legacy67,minmax,0.7295238095238097,0.8438095238095238,0.1142857142857141,0.92,0.9866666666666667,0.06666666666666665,0.8095238095238095,0.8571428571428571,0.04761904761904756,27,9
0,2.4637685958997446,0.39159991524434057,legacy67,minmax,0.7295238095238097,0.8438095238095238,0.1142857142857141,0.92,0.9866666666666667,0.06666666666666665,0.8095238095238095,0.8571428571428571,0.04761904761904756,27,9
0,2.4810409748678097,0.3946339367881464,legacy67,minmax,0.7295238095238097,0.8438095238095238,0.1142857142857141,0.92,0.9866666666666667,0.06666666666666665,0.8095238095238095,0.8571428571428571,0.04761904761904756,27,9
0,2.5378155082656626,0.40446004697283516,legacy67,minmax,0.7533333333333334,0.8438095238095238,0.09047619047619038,0.92,0.9866666666666667,0.06666666666666665,0.8333333333333334,0.8571428571428571,0.023809523809523725,27,9
0,2.692646910086177,0.43017940760575346,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,27,9
0,2.801635158716258,0.4474115788895179,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,27,9
0,3.113095956122122,0.4931925073102317,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,28,9
0,3.550012525851159,0.5502298854208525,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,31,9
0,4.467752817973904,0.6500891374159279,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,31,9
0,5.456725485601473,0.7369321060486276,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,32,9
0,6.72093005015611,0.8274293753904685,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,9
0,6.7965780907581514,0.832290311184182,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,31
0,7.128188058401357,0.85297914889198,legacy67,minmax,0.74,0.8438095238095238,0.1038095238095238,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,32
0,8.241925264876443,0.9160286721639492,legacy67,minmax,0.7266666666666666,0.8438095238095238,0.11714285714285722,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,32
0,8.287522363768153,0.9184247133522563,legacy67,minmax,0.7266666666666666,0.8438095238095238,0.11714285714285722,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,32
0,8.471801418819974,0.9279757672456204,legacy67,minmax,0.7266666666666666,0.8438095238095238,0.11714285714285722,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,32
0,11.044350847124681,1.0431401944675898,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,12.130221181165155,1.083868719818244,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,12.164139351417056,1.085081386743783,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,12.273800987852958,1.0889790771866297,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,12.604664585649452,1.1005312934444582,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,13.826232179369853,1.1407038455720544,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,30,32
0,16.172900811143133,1.2087879230161587,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,31,32
0,17.123375973163967,1.2335893924658445,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,31,32
0,18.274508859816006,1.2618457138193366,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,31,32
0,20.65142557895924,1.3149500366077174,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,32,32
0,21.36832907235874,1.329770563201687,legacy67,minmax,0.7266666666666666,0.8676190476190477,0.14095238095238116,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8809523809523809,0.04761904761904756,32,32
0,28.340904295147727,1.452413703502374,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,32,32
0,29.154431891537524,1.4647045830997407,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,32,32
0,35.387588647792384,1.5488509703053062,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,37.95853142670639,1.5793094017105953,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,43.37920697490936,1.6372816083151283,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,48.69640941520897,1.6874969400924673,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,57.279044707996185,1.7579957662567565,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,62.45139574743064,1.795542149013333,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,63.512210106406926,1.8028572256396647,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
0,72.86653737491037,1.8625281322982374,legacy67,minmax,0.74,0.8676190476190477,0.12761904761904774,0.9066666666666666,0.9866666666666667,0.08000000000000007,0.8333333333333334,0.8809523809523809,0.04761904761904756,33,33
