c_value,log10_c,cv_mean_j,cv_std_j,cv_p10_j,cv_p90_j,cv_fold_count
1.2561043700013554,0.09902572652895136,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
1.4817820606039076,0.17078433263299386,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
1.5375920235481748,0.1868411173731186,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
1.7583640270008503,0.24510879027798493,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.34238498471129,0.36965827544816987,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.4637685958997446,0.39159991524434057,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.4810409748678097,0.3946339367881464,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.5378155082656626,0.40446004697283516,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.692646910086177,0.43017940760575346,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
2.801635158716258,0.4474115788895179,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
3.113095956122122,0.4931925073102317,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
3.550012525851159,0.5502298854208525,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
4.467752817973904,0.6500891374159279,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
5.456725485601473,0.7369321060486276,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
6.72093005015611,0.8274293753904685,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
6.7965780907581514,0.832290311184182,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
7.128188058401357,0.85297914889198,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
8.241925264876443,0.9160286721639492,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
8.287522363768153,0.9184247133522563,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
8.471801418819974,0.9279757672456204,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
11.044350847124681,1.0431401944675898,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
12.130221181165155,1.083868719818244,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
12.164139351417056,1.085081386743783,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
12.273800987852958,1.0889790771866297,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
12.604664585649452,1.1005312934444582,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
13.826232179369853,1.1407038455720544,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
16.172900811143133,1.2087879230161587,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
17.123375973163967,1.2335893924658445,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
18.274508859816006,1.2618457138193366,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
20.65142557895924,1.3149500366077174,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
21.36832907235874,1.329770563201687,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
28.340904295147727,1.452413703502374,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
29.154431891537524,1.4647045830997407,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
35.387588647792384,1.5488509703053062,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
37.95853142670639,1.5793094017105953,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
43.37920697490936,1.6372816083151283,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
48.69640941520897,1.6874969400924673,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
57.279044707996185,1.7579957662567565,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
62.45139574743064,1.795542149013333,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
63.512210106406926,1.8028572256396647,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
72.86653737491037,1.8625281322982374,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
75.56810141274423,1.8783385110582342,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
75.79479953347995,1.8796394086479773,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
88.62326508576248,1.9475477464020692,0.8519332117158204,0.1263113290956472,0.7322286409242931,1.0,10
