seed,quantile_id,quantile_label,split,raw_c,rect_c,quantile_low,quantile_high,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
48,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6161904761904764,0.6076190476190475,-0.008571428571428896,0.9733333333333334,0.8933333333333333,-0.08000000000000007,0.6428571428571429,0.7142857142857143,0.0714285714285714,8,14
48,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6161904761904764,0.5342857142857143,-0.08190476190476215,0.9733333333333334,0.9866666666666667,0.013333333333333308,0.6428571428571429,0.5476190476190477,-0.09523809523809523,8,16
49,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6742857142857144,0.7085714285714286,0.03428571428571425,0.96,0.9466666666666667,-0.013333333333333308,0.7142857142857143,0.7619047619047619,0.04761904761904756,7,10
49,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6742857142857144,0.7085714285714286,0.03428571428571425,0.96,0.9466666666666667,-0.013333333333333308,0.7142857142857143,0.7619047619047619,0.04761904761904756,7,14
49,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6742857142857144,0.6714285714285715,-0.0028571428571428914,0.96,0.9333333333333333,-0.026666666666666616,0.7142857142857143,0.7380952380952381,0.023809523809523836,7,10
49,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6742857142857144,0.6238095238095238,-0.05047619047619056,0.96,0.9333333333333333,-0.026666666666666616,0.7142857142857143,0.6904761904761905,-0.023809523809523836,7,11
49,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6742857142857144,0.5209523809523811,-0.15333333333333332,0.96,0.9733333333333334,0.01333333333333342,0.7142857142857143,0.5476190476190477,-0.16666666666666663,7,15
50,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6638095238095238,0.6895238095238096,0.0257142857142858,0.9733333333333334,0.88,-0.09333333333333338,0.6904761904761905,0.8095238095238095,0.11904761904761907,7,11
50,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6638095238095238,0.7323809523809524,0.0685714285714285,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.6904761904761905,0.7857142857142857,0.09523809523809523,7,10
50,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6638095238095238,0.6342857142857143,-0.029523809523809508,0.9733333333333334,0.92,-0.053333333333333344,0.6904761904761905,0.7142857142857143,0.023809523809523836,7,11
50,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6638095238095238,0.5152380952380953,-0.14857142857142858,0.9733333333333334,0.92,-0.053333333333333344,0.6904761904761905,0.5952380952380952,-0.09523809523809523,7,14
50,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6638095238095238,0.44952380952380944,-0.2142857142857144,0.9733333333333334,0.9733333333333334,0.0,0.6904761904761905,0.47619047619047616,-0.2142857142857143,7,13
51,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.7085714285714286,0.8009523809523809,0.09238095238095223,0.9466666666666667,0.92,-0.026666666666666616,0.7619047619047619,0.8809523809523809,0.11904761904761907,6,11
51,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.7085714285714286,0.8171428571428572,0.10857142857142854,0.9466666666666667,0.96,0.013333333333333308,0.7619047619047619,0.8571428571428571,0.09523809523809523,6,12
51,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.7085714285714286,0.6847619047619049,-0.023809523809523725,0.9466666666666667,0.9466666666666667,0.0,0.7619047619047619,0.7380952380952381,-0.023809523809523725,6,12
51,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.7085714285714286,0.597142857142857,-0.11142857142857165,0.9466666666666667,0.9066666666666666,-0.040000000000000036,0.7619047619047619,0.6904761904761905,-0.0714285714285714,6,12
